ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,Khoảng cách đường bộ km,khoang_cach_chim_bay_km,tinh_thanh_sau_sap_nhap,tinh_thanh,khoang_cach_chim_bay,Khoảng cách đường bộ,thời gian,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord
92600000,CN 8 Thành phố Hồ Chí Minh,106.6653111,10.7423991,90632000,PGD Vườn Chuối,106.6839927,10.7723266,5.3,3.903716052649254,TP. Hồ Chí Minh,,,,,92600000__90632000,90632000__92600000,"10.74240,106.66531__10.77233,106.68399","10.74240,106.66531__10.77233,106.68399"
92631000,PGD Xóm Củi,106.65075,10.7477778,90632000,PGD Vườn Chuối,106.6839927,10.7723266,5.6,4.542966130848606,TP. Hồ Chí Minh,,,,,92631000__90632000,90632000__92631000,"10.74778,106.65075__10.77233,106.68399","10.74778,106.65075__10.77233,106.68399"
92800000,CN 9 Thành phố Hồ Chí Minh,106.6788024,10.82797,90632000,PGD Vườn Chuối,106.6839927,10.7723266,8.3,6.213181342895115,TP. Hồ Chí Minh,,,,,92800000__90632000,90632000__92800000,"10.82797,106.67880__10.77233,106.68399","10.77233,106.68399__10.82797,106.67880"
93230000,PGD Vĩnh Lộc,106.596,10.8158889,90632000,PGD Vườn Chuối,106.6839927,10.7723266,14.8,10.7628541424656,TP. Hồ Chí Minh,,,,,93230000__90632000,90632000__93230000,"10.81589,106.59600__10.77233,106.68399","10.77233,106.68399__10.81589,106.59600"
94000000,CN 10 Thành phố Hồ Chí Minh,106.673082,10.765361,90632000,PGD Vườn Chuối,106.6839927,10.7723266,1.7,1.421412766498468,TP. Hồ Chí Minh,,,,,94000000__90632000,90632000__94000000,"10.76536,106.67308__10.77233,106.68399","10.76536,106.67308__10.77233,106.68399"
94030000,PGD Lý Thường Kiệt,106.6576503,10.7716481,90632000,PGD Vườn Chuối,106.6839927,10.7723266,4.0,2.878514979373698,TP. Hồ Chí Minh,,,,,94030000__90632000,90632000__94030000,"10.77165,106.65765__10.77233,106.68399","10.77165,106.65765__10.77233,106.68399"
94200000,CN 11 Thành phố Hồ Chí Minh,106.6474356,10.7568213,90632000,PGD Vườn Chuối,106.6839927,10.7723266,5.9,4.349719666003967,TP. Hồ Chí Minh,,,,,94200000__90632000,90632000__94200000,"10.75682,106.64744__10.77233,106.68399","10.75682,106.64744__10.77233,106.68399"
94231000,PGD Tên Lửa,106.61129,10.75028,90632000,PGD Vườn Chuối,106.6839927,10.7723266,10.5,8.311742578017983,TP. Hồ Chí Minh,,,,,94231000__90632000,90632000__94231000,"10.75028,106.61129__10.77233,106.68399","10.75028,106.61129__10.77233,106.68399"
94400000,CN 12 Thành phố Hồ Chí Minh,106.6409777,10.7996853,90632000,PGD Vườn Chuối,106.6839927,10.7723266,6.8,5.597411644996722,TP. Hồ Chí Minh,,,,,94400000__90632000,90632000__94400000,"10.79969,106.64098__10.77233,106.68399","10.77233,106.68399__10.79969,106.64098"
94700000,CN Thủ Đức,106.7575507,10.8576366,90632000,PGD Vườn Chuối,106.6839927,10.7723266,14.0,12.43101156366076,TP. Hồ Chí Minh,,,,,94700000__90632000,90632000__94700000,"10.85764,106.75755__10.77233,106.68399","10.77233,106.68399__10.85764,106.75755"
90800000,CN 4 Thành phố Hồ Chí Minh,106.7025623,10.7659462,90635000,PGD Đô Thành,106.6756618,10.7892362,5.5,3.916772292259366,TP. Hồ Chí Minh,,,,,90800000__90635000,90635000__90800000,"10.76595,106.70256__10.78924,106.67566","10.76595,106.70256__10.78924,106.67566"
92000000,CN 5 Thành phố Hồ Chí Minh,106.6738508,10.756692,90635000,PGD Đô Thành,106.6756618,10.7892362,5.6,3.62415310952443,TP. Hồ Chí Minh,,,,,92000000__90635000,90635000__92000000,"10.75669,106.67385__10.78924,106.67566","10.75669,106.67385__10.78924,106.67566"
