global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord,matched_by,old_distance_km,new_distance_km,old_duration,new_duration,old_ratio_to_air,new_ratio_to_air,distance_diff_km,distance_abs_diff_km,distance_change_pct,compare_status,recrawl_priority,recrawl_group,pair_key,recrawl_batch
16636,16638,26430000,PGD Đô Thành,105.7940899,21.0096624,32834000,PGD Xuân Mai,105.5765428,20.8985516,25.74823090553666,TP. Hà Nội,167,36,"24 min
7.0 km",7.0,24 min,part/output_part_167/ket_qua_tu_0_den_99.xlsx,original_output,ok,26430000__32834000,26430000__32834000,"21.00966,105.79409__20.89855,105.57654","20.89855,105.57654__21.00966,105.79409",directed_pair_key_by_code,31.8,7.0,,24 min,,0.2719,-24.8,24.8,0.7799,SUSPECT_CHANGED,HIGH,HIGH,26430000__32834000,batch_02
17850,17852,16435000,PGD Trần Nguyên Hãn,106.6692966,20.8452886,34430000,PGD Minh Tân,106.5811991,21.0394735,23.45067171905383,TP. Hải Phòng,179,50,"26 min
11.0 km",11.0,26 min,part/output_part_179/ket_qua_tu_0_den_99.xlsx,original_output,ok,16435000__34430000,16435000__34430000,"20.84529,106.66930__21.03947,106.58120","20.84529,106.66930__21.03947,106.58120",directed_pair_key_by_code,34.1,11.0,,26 min,,0.4691,-23.1,23.1,0.6774,SUSPECT_CHANGED,HIGH,HIGH,16435000__34430000,batch_02
19117,19119,64033000,PGD Dĩ An,106.7573326,10.9062265,92332000,PGD Bình Trị Đông,106.61727,10.7517545,23.00062989162211,TP. Hồ Chí Minh,192,17,"1 hr 33 min
65.0 km",65.0,1 hr 33 min,part/output_part_192/ket_qua_tu_0_den_99.xlsx,original_output,ok,64033000__92332000,64033000__92332000,"10.90623,106.75733__10.75175,106.61727","10.75175,106.61727__10.90623,106.75733",directed_pair_key_by_code,28.0,65.0,,1 hr 33 min,,2.826,37.0,37.0,1.3214,SUSPECT_CHANGED,HIGH,HIGH,64033000__92332000,batch_02
12339,12341,12844000,PGD Bắc Đô,105.8979777,21.0521226,14034000,PGD Lạc Long Quân,105.8074797,21.0496315,9.39543477427355,TP. Hà Nội,124,39,"39 min
22.4 km",22.4,39 min,part/output_part_902/ket_qua_tu_0_den_99.xlsx,retry_output,ok,12844000__14034000,12844000__14034000,"21.05212,105.89798__21.04963,105.80748","21.04963,105.80748__21.05212,105.89798",directed_pair_key_by_code,12.6,22.4,,39 min,,2.3841,9.8,9.8,0.7778,SUSPECT_CHANGED,HIGH,HIGH,12844000__14034000,batch_02
18324,18326,34031000,PGD Trần Hưng Đạo,106.3328297,20.9392325,34037000,PGD Bình Giang,106.1505193,20.9069647,19.27223941571558,TP. Hải Phòng,184,24,"10 min
7.1 km",7.1,10 min,part/output_part_184/ket_qua_tu_0_den_99.xlsx,original_output,ok,34031000__34037000,34031000__34037000,"20.93923,106.33283__20.90696,106.15052","20.90696,106.15052__20.93923,106.33283",directed_pair_key_by_code,21.8,7.1,,10 min,,0.3684,-14.7,14.7,0.6743,SUSPECT_CHANGED,HIGH,HIGH,34031000__34037000,batch_02
23258,23260,90300000,CN Thủ Thiêm,106.7293726,10.7875464,94600000,CN Đông Sài Gòn,106.771314,10.8465447,8.001351850377393,TP. Hồ Chí Minh,233,58,"50 min
20.8 km",20.8,50 min,part/output_part_233/ket_qua_tu_0_den_99.xlsx,original_output,ok,90300000__94600000,90300000__94600000,"10.78755,106.72937__10.84654,106.77131","10.78755,106.72937__10.84654,106.77131",directed_pair_key_by_code,9.0,20.8,,50 min,,2.5996,11.8,11.8,1.3111,SUSPECT_CHANGED,HIGH,HIGH,90300000__94600000,batch_02
16237,16239,18830000,PGD Thường Tín,105.8600075,20.8663528,32034000,PGD Hà Đông,105.770002,20.9658888,14.48779927550659,TP. Hà Nội,163,37,"13 min
4.2 km",4.2,13 min,part/output_part_163/ket_qua_tu_0_den_99.xlsx,original_output,ok,18830000__32034000,18830000__32034000,"20.86635,105.86001__20.96589,105.77000","20.86635,105.86001__20.96589,105.77000",directed_pair_key_by_code,18.8,4.2,,13 min,,0.2899,-14.6,14.6,0.7766,SUSPECT_CHANGED,HIGH,HIGH,18830000__32034000,batch_02
17366,17368,16100000,CN Bắc Hải Phòng,106.681262,20.851094,16230000,PGD Đồ Sơn,106.7828225,20.7164627,18.31899086651423,TP. Hải Phòng,174,66,"15 min
6.4 km",6.4,15 min,part/output_part_174/ket_qua_tu_0_den_99.xlsx,original_output,ok,16100000__16230000,16100000__16230000,"20.85109,106.68126__20.71646,106.78282","20.71646,106.78282__20.85109,106.68126",directed_pair_key_by_code,19.5,6.4,,15 min,,0.3494,-13.1,13.1,0.6718,SUSPECT_CHANGED,HIGH,HIGH,16100000__16230000,batch_02
22971,22973,90236000,PGD Đakao,106.6972065,10.7927265,90331000,PGD Bình Trưng Tây,106.7566664,10.788686,6.510260147690296,TP. Hồ Chí Minh,230,71,"1 hr 2 min
21.2 km",21.2,1 hr 2 min,part/output_part_230/ket_qua_tu_0_den_99.xlsx,original_output,ok,90236000__90331000,90236000__90331000,"10.79273,106.69721__10.78869,106.75667","10.78869,106.75667__10.79273,106.69721",directed_pair_key_by_code,9.2,21.2,,1 hr 2 min,,3.2564,12.0,12.0,1.3043,SUSPECT_CHANGED,HIGH,HIGH,90236000__90331000,batch_02
15374,15376,14433000,PGD Liên Hà,105.9005049,21.1525298,32200000,CN Đô Thành,105.7755539,20.9755068,23.570493901737,TP. Hà Nội,154,74,"13 min
7.2 km",7.2,13 min,part/output_part_154/ket_qua_tu_0_den_99.xlsx,original_output,ok,14433000__32200000,14433000__32200000,"21.15253,105.90050__20.97551,105.77555","20.97551,105.77555__21.15253,105.90050",directed_pair_key_by_code,32.0,7.2,,13 min,,0.3055,-24.8,24.8,0.775,SUSPECT_CHANGED,HIGH,HIGH,14433000__32200000,batch_02
