global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,old_kinh_do_1,old_vi_do_1,old_kinh_do_2,old_vi_do_2,coord_update_note
4384,4386,24832000,PGD Phong Châu,105.292801,21.339281,26032000,PGD Lập Thạch,105.4642271,21.4151575,20.09367493260217,Phú Thọ,44,84,"42 min
30.0 km",30.0,42 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.4642271,21.4151575,updated point 1 PGD Phong Chau 24832000
4385,4387,24832000,PGD Phong Châu,105.292801,21.339281,26033000,PGD Lạc Hồng,105.5743859,21.2375558,32.29972946818135,Phú Thọ,44,85,"1 hr
40.0 km",40.0,1 hr,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.5743859,21.2375558,updated point 1 PGD Phong Chau 24832000
4386,4388,24832000,PGD Phong Châu,105.292801,21.339281,26034000,PGD Bắc Vĩnh Tường,105.497737,21.2778194,23.29032599347935,Phú Thọ,44,86,"44 min
28.9 km",28.9,44 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.497737,21.2778194,updated point 1 PGD Phong Chau 24832000
4387,4389,24832000,PGD Phong Châu,105.292801,21.339281,26200000,CN Bình Xuyên,105.6661217,21.2553437,40.73753711415267,Phú Thọ,44,87,"54 min
51.8 km",51.8,54 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.6661217,21.2553437,updated point 1 PGD Phong Chau 24832000
4388,4390,24832000,PGD Phong Châu,105.292801,21.339281,26230000,PGD Hương Canh,105.6461552,21.2773678,38.17146679114546,Phú Thọ,44,88,"56 min
52.5 km",52.5,56 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.6461552,21.2773678,updated point 1 PGD Phong Chau 24832000
4389,4391,24832000,PGD Phong Châu,105.292801,21.339281,26231000,PGD Yên Lạc,105.5778576,21.2342407,32.77180326212262,Phú Thọ,44,89,"1 hr
40.7 km",40.7,1 hr,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.5778576,21.2342407,updated point 1 PGD Phong Chau 24832000
4390,4392,24832000,PGD Phong Châu,105.292801,21.339281,26232000,PGD Vĩnh Lạc,105.5095714,21.219956,27.14325337258434,Phú Thọ,44,90,"51 min
35.4 km",35.4,51 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.5095714,21.219956,updated point 1 PGD Phong Chau 24832000
4391,4393,24832000,PGD Phong Châu,105.292801,21.339281,26233000,PGD Gia Khánh,105.6306002,21.3548149,35.80016186655816,Phú Thọ,44,91,"47 min
41.3 km",41.3,47 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.6306002,21.3548149,updated point 1 PGD Phong Chau 24832000
4392,4394,24832000,PGD Phong Châu,105.292801,21.339281,26234000,PGD Liên Bảo,105.6045759,21.3139211,33.28392784201783,Phú Thọ,44,92,"51 min
43.4 km",43.4,51 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.6045759,21.3139211,updated point 1 PGD Phong Chau 24832000
4393,4395,24832000,PGD Phong Châu,105.292801,21.339281,26235000,PGD Trưng Trắc,105.7103854,21.2315475,45.86011535518963,Phú Thọ,44,93,"1 hr 5 min
57.4 km",57.4,1 hr 5 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.285056,21.345738,105.7103854,21.2315475,updated point 1 PGD Phong Chau 24832000
